Shinjyuku,"35.69047,139.6992"
Minami-shinjyuku,"35.68316,139.6982"
Sangubashi,"35.67813,139.6933"
Yoyogi-hachiman,"35.66945,139.6884"
Yoyogi-uehara,"35.66849,139.6788"
Higashi-kitazawa,"35.66508,139.6725"
Shimo-kitazawa,"35.66150,139.6672"
Setagaya-daita,"35.65814,139.6608"
Umegaoka,"35.65624,139.6543"
Gotokuji,"35.65411,139.6481"
Kyodo,"35.65151,139.6378"
Chitose-funabashi,"35.64791,139.6253"
Soshigaya-okura,"35.64302,139.6089"
Seijyo-gakuen-mae,"35.63981,139.5980"
Kitami,"35.63613,139.5855"
Komae,"35.63162,139.5767"
Izumi-tamagawa,"35.62680,139.5733"
Noborito,"35.62007,139.5688"
Mukogaoka-yuen,"35.61683,139.5635"
Ikuta,"35.61482,139.5406"
Yomiuri-land-mae,"35.61484,139.5271"
Yurigaoka,"35.60866,139.5151"
Shin-yurigaoka,"35.60306,139.5067"
Kakio,"35.58891,139.4971"
Tsurukawa,"35.58332,139.4829"
Tamagawa-gakuen-mae,"35.56428,139.4639"
Machida,"35.54471,139.4458"
Sagami-ono,"35.53329,139.4388"
Odakyu-sagamihara,"35.51625,139.4236"
Sobudai-mae,"35.49995,139.4091"
Zama,"35.48173,139.3999"
Ebina,"35.45355,139.3918"
Atsugi,"35.44297,139.3775"
Hon-atsugi,"35.43856,139.3636"
Aiko-ishida,"35.41817,139.3447"
Isehara,"35.39638,139.3144"
Tsurumaki-onsen,"35.38099,139.2779"
Tokai-daigaku-mae,"35.37317,139.2713"
Hadano,"35.36956,139.2269"
Shibusawa,"35.37390,139.1856"
Shin-matsuda,"35.34432,139.1388"
Kaisei,"35.32681,139.1357"
Kayayama,"35.31096,139.1425"
Tominaga,"35.296389, 139.145556"
Hotaruda,"35.285, 139.151944"
Ashigara,"35.27212,139.1545"
Odawara,"35.25707,139.1559"