Sagami-Ōno,"35.53329,139.4388",,1.5
Ebina,"35.45355,139.3918",,10.2
Hon-Atsugi,"35.43856,139.3636",,2.9
Aikō-Ishida,"35.41817,139.3447",,3.1
Isehara,"35.39638,139.3144",,3.7
Tsurumaki-Onsen,"35.38099,139.2779",,3.7
Tōkaidaigaku-mae,"35.37317,139.2713",,1.1
Hadano,"35.36956,139.2269",,4.7
Shibusawa,"35.37390,139.1856",,3.9
Shin-Matsuda,"35.34432,139.1388",,6.2
Kaisei,"35.32681,139.1357",,2.5
Kayama,"35.31096,139.1425",,1.9
Tomizu,"35.296389, 139.145556",,1.6
Hotaruda,"35.285, 139.151944",,1.4
Ashigara,"35.27212,139.1545",,1.6
Odawara,"35.25707,139.1559",,1.7