Hashimoto,"35.59532,139.3442",,-
Minami-Hashimoto,"35.57982,139.3524",,2
Kamimizo,"35.55737,139.3633",,2.9
Banda,"35.54510,139.3634",,1.5
Harataima,"35.52925,139.3751",,2.1
Shimomizo,"35.51876,139.3803",,1.3
Sōbudaishita,"35.49329,139.3862",,2.9
Iriya,"35.47871,139.3917",,1.7
Ebina,"35.45443,139.3897",,3
Atsugi,"35.44414,139.3786",,1.7
Shake,"35.42074,139.3772",,2.6
Kadosawabashi,"35.40643,139.3802",,1.6
Kurami,"35.39466,139.3782",,1.4
Miyayama,"35.38189,139.3797",,1.4
Samukawa,"35.36740,139.3877",,2.1
Kagawa,"35.35621,139.3999",,1.7
Kita-Chigasaki,"35.33920,139.4077",,2.1
Chigasaki,"35.33122,139.4096",,1.3