timebin;legs;average_wait;min;p_5;p_25;median;p_75;p_95;max
07:30:00;6;439.83;285;285;300;422;557.75;692;692
08:00:00;4;443.75;372;372;387.75;440;503.5;523;523
08:30:00;2;448.5;224;224;224;448.5;673;673;673
09:00:00;1;323;323;323;323;323;323;323;323
09:30:00;1;320;320;320;320;320;320;320;320
10:00:00;2;357.5;299;299;299;357.5;416;416;416
10:30:00;0;0;0;0;0;0;0;0;0
11:00:00;1;347;347;347;347;347;347;347;347
11:30:00;0;0;0;0;0;0;0;0;0
12:00:00;2;491.5;454;454;454;491.5;529;529;529
12:30:00;0;0;0;0;0;0;0;0;0
13:00:00;2;370.5;340;340;340;370.5;401;401;401
13:30:00;1;459;459;459;459;459;459;459;459
14:00:00;2;443.5;228;228;228;443.5;659;659;659
14:30:00;3;583.67;509;509;509;516;726;726;726
15:00:00;2;409;328;328;328;409;490;490;490
15:30:00;3;362.67;233;233;233;304;551;551;551
16:00:00;3;429.33;262;262;262;510;516;516;516
16:30:00;3;317.67;163;163;163;329;461;461;461
17:00:00;2;245;172;172;172;245;318;318;318
17:30:00;1;565;565;565;565;565;565;565;565
18:00:00;1;413;413;413;413;413;413;413;413
18:30:00;1;491;491;491;491;491;491;491;491
19:00:00;1;171;171;171;171;171;171;171;171
19:30:00;1;451;451;451;451;451;451;451;451
20:00:00;0;0;0;0;0;0;0;0;0
20:30:00;1;332;332;332;332;332;332;332;332
21:00:00;0;0;0;0;0;0;0;0;0
21:30:00;1;516;516;516;516;516;516;516;516
22:00:00;0;0;0;0;0;0;0;0;0
22:30:00;1;460;460;460;460;460;460;460;460